time,loat+AF8-abmc+AF8-block,loat+AF8-abmc,loat+AF8-bmc,loat+AF8-adcl,spacer,z3+AF8-bmc,golem+AF8-tpa,golem+AF8-bmc,eldarica
1,74,36,40,0,111,28,103,29,0
2,81,42,48,0,122,28,108,31,23
3,82,43,49,0,131,28,112,31,70
4,84,45,51,0,139,28,113,31,92
5,85,45,51,0,148,29,116,31,107
6,85,45,51,0,151,29,118,31,116
7,86,46,51,0,152,29,118,31,124
8,86,46,51,0,154,29,119,31,127
9,88,47,52,0,155,29,119,31,130
10,88,47,52,0,156,29,119,31,132
11,88,47,52,0,156,29,120,31,133
12,89,48,53,0,159,29,121,31,133
13,89,48,53,0,160,29,123,31,134
14,89,48,53,0,162,29,123,31,137
15,89,48,53,0,164,29,123,31,140
16,89,48,53,0,167,29,123,31,143
17,89,48,53,0,168,29,124,31,144
18,89,48,53,0,168,29,124,31,144
19,89,48,54,0,168,29,124,31,145
20,89,48,55,0,168,29,124,31,147
21,89,48,55,0,170,29,124,31,147
22,89,48,56,0,170,29,125,31,147
23,89,48,56,0,170,29,125,31,147
24,90,49,56,0,170,29,125,31,147
25,90,49,56,0,170,29,125,31,148
26,90,49,56,0,170,29,125,31,150
27,90,49,56,0,170,29,125,31,151
28,90,49,56,0,171,29,126,31,151
29,91,50,57,0,171,29,126,31,151
30,91,50,57,0,172,29,126,31,151
31,91,50,57,0,173,29,127,31,152
32,91,50,57,0,173,29,127,31,152
33,91,50,57,0,173,29,127,31,153
34,91,50,57,0,174,29,127,31,156
35,91,50,57,0,174,29,127,31,156
36,91,50,57,0,176,29,127,31,156
37,91,50,57,0,176,29,127,31,157
38,91,50,57,0,176,29,127,31,157
39,91,50,57,0,177,29,128,31,158
40,91,50,57,0,177,29,128,31,159
41,91,50,57,0,177,29,130,31,159
42,91,50,57,0,177,29,130,31,159
43,91,50,57,0,177,29,130,31,159
44,91,50,57,0,178,29,130,31,160
45,91,50,57,0,178,29,130,31,160
46,91,50,57,0,178,29,130,31,160
47,91,50,57,0,178,29,131,31,160
48,91,50,57,0,178,29,131,31,160
49,91,50,57,0,178,29,131,31,160
50,91,50,57,0,178,29,131,31,160
51,91,50,57,0,178,29,131,31,160
52,91,50,58,0,179,29,131,31,161
53,91,50,58,0,181,29,131,31,161
54,91,50,58,0,181,29,131,31,162
55,91,50,58,0,182,29,131,31,162
56,91,50,58,0,182,29,131,31,162
57,91,50,58,0,182,29,131,31,162
58,91,50,58,0,182,29,131,31,162
59,91,50,58,0,182,29,131,31,163
60,91,50,58,0,182,29,131,31,163
61,91,50,58,0,183,29,131,31,163
62,91,50,58,0,183,29,131,31,163
63,91,50,58,0,183,29,131,31,163
64,91,50,58,0,183,29,131,31,163
65,91,50,58,0,183,29,131,31,164
66,91,50,58,0,183,29,131,31,164
67,91,50,58,0,183,29,131,31,165
68,91,50,58,0,184,29,132,31,165
69,91,50,58,0,184,29,134,31,167
70,91,50,58,0,184,29,134,31,167
71,91,50,58,0,184,29,134,31,167
72,91,50,58,0,185,29,134,31,167
73,91,50,58,0,185,29,134,31,167
74,91,50,58,0,186,29,134,31,167
75,91,50,58,0,186,29,134,31,167
76,91,50,58,0,186,29,134,31,167
77,91,50,58,0,186,29,134,31,167
78,91,50,58,0,186,29,134,31,167
79,91,51,58,0,187,29,134,31,168
80,91,51,58,0,187,29,134,31,168
81,91,51,59,0,188,29,134,31,168
82,92,51,59,0,189,29,135,31,168
83,92,51,59,0,189,29,135,31,168
84,92,51,59,0,190,29,135,31,168
85,93,51,59,0,190,29,135,31,168
