time,loat_abmc_block,loat_abmc,loat_bmc,loat_adcl,spacer,z3_bmc,golem_tpa,golem_bmc,eldarica
1,66,25,30,0,70,21,68,19,0
2,69,27,32,0,77,21,72,20,14
3,70,28,33,0,81,21,73,20,45
4,70,28,33,0,85,21,74,20,61
5,70,28,33,0,92,21,75,20,67
6,70,28,33,0,93,21,75,20,71
7,71,29,33,0,94,21,76,20,74
8,71,29,33,0,96,21,78,20,77
9,71,29,33,0,96,21,81,20,82
10,71,29,33,0,98,21,81,20,84
11,71,29,33,0,98,21,81,20,84
12,71,29,33,0,101,21,81,20,86
13,72,29,33,0,103,21,81,20,88
14,72,29,33,0,106,21,81,20,90
15,72,29,33,0,108,21,81,20,91
16,72,29,33,0,111,21,81,20,91
17,72,29,33,0,112,21,81,20,91
18,72,29,33,0,113,21,81,20,91
19,72,29,33,0,113,21,81,20,92
20,72,29,33,0,114,21,81,20,93
21,72,29,33,0,117,21,81,20,94
22,72,29,34,0,118,21,82,20,95
23,72,29,34,0,119,21,82,20,95
24,72,29,34,0,119,21,83,20,95
25,72,29,34,0,120,21,84,20,95
26,72,29,34,0,122,21,84,20,96
27,72,29,34,0,122,21,84,20,97
28,72,29,34,0,123,21,84,20,97
29,72,29,34,0,124,21,84,20,99
30,72,29,34,0,124,21,84,20,100
31,72,29,34,0,124,21,84,20,101
32,72,29,34,0,124,21,84,20,102
33,72,29,34,0,126,21,84,20,102
34,72,29,34,0,126,21,84,20,104
35,72,29,34,0,126,21,84,20,105
36,72,29,34,0,126,21,84,20,105
37,72,29,34,0,126,21,84,20,105
38,72,29,34,0,126,21,84,20,106
39,72,29,34,0,126,21,84,20,107
40,72,29,34,0,128,21,84,20,107
41,72,29,34,0,129,21,85,20,108
42,72,29,34,0,129,21,85,20,108
43,72,29,34,0,129,21,85,20,108
44,72,29,34,0,129,21,85,20,108
45,72,29,34,0,129,21,85,20,109
46,72,29,34,0,129,21,85,20,109
47,72,29,34,0,129,21,85,20,109
48,72,29,34,0,129,21,85,20,110
49,72,29,34,0,129,21,85,20,110
50,72,29,34,0,129,21,85,20,110
51,72,29,34,0,129,21,85,20,110
52,72,29,34,0,130,21,85,20,110
53,72,29,34,0,130,21,85,20,110
54,72,29,34,0,133,21,85,20,111
55,72,29,34,0,133,21,85,20,111
56,72,29,34,0,133,21,85,20,111
57,72,29,34,0,133,21,85,20,111
58,72,29,34,0,133,21,85,20,111
59,72,29,34,0,133,21,85,20,111
60,72,29,34,0,133,21,85,20,111
61,72,29,34,0,134,21,85,20,111
62,72,29,34,0,135,21,85,20,111
63,72,29,34,0,135,21,85,20,111
64,72,29,34,0,135,21,85,20,111
65,72,29,34,0,135,21,85,20,111
66,72,29,34,0,135,21,85,20,111
67,72,29,34,0,136,21,85,20,111
68,72,29,34,0,136,21,85,20,112
69,72,29,34,0,137,21,85,20,112
70,72,29,34,0,137,21,85,20,113
71,72,29,34,0,137,21,85,20,113
72,72,29,34,0,138,21,85,20,113
73,72,29,34,0,139,21,85,20,113
74,72,29,34,0,139,21,85,20,113
75,72,29,34,0,139,21,85,20,113
76,72,29,34,0,139,21,85,20,113
77,72,29,34,0,139,21,85,20,113
78,72,29,34,0,141,21,85,20,113
79,72,29,34,0,141,21,85,20,113
80,72,29,34,0,141,21,85,20,113
81,72,29,34,0,142,21,85,20,114
82,72,29,34,0,142,21,85,20,114
83,72,29,34,0,142,21,85,20,114
84,72,29,34,0,143,21,85,20,114
85,72,29,34,0,143,21,85,20,114
86,72,29,34,0,143,21,85,20,114
87,72,29,34,0,143,21,85,20,114
88,72,29,34,0,143,21,85,20,114
89,72,29,34,0,143,21,85,20,114
90,72,29,34,0,143,21,85,20,114
91,72,29,34,0,143,21,85,20,114
92,72,29,34,0,143,21,85,20,114
93,72,29,34,0,143,21,85,20,114
94,72,29,34,0,143,21,85,20,114
95,72,29,34,0,144,21,85,20,114
96,72,29,34,0,144,21,85,20,114
97,72,29,34,0,144,21,85,20,114
98,72,29,34,0,144,21,85,20,114
99,72,29,34,0,144,21,85,20,114
100,72,29,34,0,144,21,85,20,115
101,72,29,34,0,144,21,85,20,115
102,72,29,34,0,144,21,85,20,115
103,72,29,34,0,144,21,85,20,115
104,72,29,34,0,145,21,85,20,115
105,72,29,35,0,145,21,85,20,115
106,72,29,35,0,145,21,85,20,115
107,72,29,35,0,145,21,85,20,115
108,72,29,35,0,145,21,85,20,115
109,72,29,35,0,145,21,85,20,115
110,72,29,35,0,145,21,86,20,115
111,72,29,35,0,146,21,86,20,115
112,72,29,35,0,146,21,86,20,115
113,72,29,35,0,146,21,86,20,115
114,72,29,35,0,146,21,86,20,115
115,72,29,35,0,146,21,86,20,115
116,72,29,35,0,147,21,86,20,115
117,72,29,35,0,147,21,86,20,115
118,72,29,35,0,147,21,86,20,115
119,72,29,35,0,147,21,86,20,115
120,72,29,35,0,147,21,86,20,115
121,72,29,35,0,147,21,86,20,115
122,72,29,35,0,148,21,86,20,115
123,72,29,35,0,148,21,86,20,115
124,72,29,35,0,148,21,86,20,116
125,72,29,35,0,148,21,86,20,116
126,72,29,35,0,148,21,86,20,116
127,73,30,35,0,148,21,86,20,116
128,73,30,35,0,148,21,86,20,116
129,73,30,35,0,148,21,86,20,116
130,73,30,35,0,148,21,86,20,116
131,73,30,35,0,148,21,86,20,116
132,73,30,35,0,148,21,86,20,116
133,73,30,35,0,148,21,86,20,116
134,73,30,35,0,148,21,86,20,116
135,73,30,35,0,148,21,86,20,117
136,73,30,35,0,149,21,86,20,117
137,73,30,35,0,149,21,86,20,117
138,73,30,35,0,149,21,86,20,117
139,73,30,35,0,149,21,86,20,117
140,73,30,35,0,149,21,86,20,118
141,73,30,35,0,149,21,86,20,118
142,73,30,35,0,149,21,86,20,118
143,73,30,35,0,149,21,86,20,118
144,73,30,35,0,149,21,86,20,118
145,73,30,35,0,149,21,86,20,118
146,73,30,35,0,149,21,86,20,118
147,73,30,35,0,149,21,86,20,118
148,73,30,35,0,149,21,86,20,118
149,73,30,35,0,149,21,86,20,118
150,73,30,35,0,149,21,86,20,118
151,73,30,35,0,149,21,86,20,118
152,73,30,35,0,149,21,86,20,118
153,73,30,35,0,149,21,86,20,118
154,73,30,35,0,149,21,86,20,118
155,73,30,35,0,149,21,86,20,118
156,73,30,35,0,149,21,86,20,119
157,73,30,35,0,149,21,86,20,120
158,73,30,35,0,150,21,86,20,120
159,73,30,35,0,150,21,86,20,120
160,73,30,35,0,150,21,86,20,120
161,73,30,35,0,150,21,86,20,120
162,73,30,35,0,151,21,86,20,120
163,73,30,35,0,151,21,86,20,120
164,73,30,35,0,151,21,86,20,120
165,73,30,35,0,151,21,87,20,120
166,73,30,35,0,151,21,87,20,120
167,73,30,35,0,151,21,87,20,120
168,73,30,35,0,151,21,87,20,120
169,73,30,35,0,151,21,87,20,120
170,73,30,35,0,151,21,87,20,120
171,73,30,35,0,151,21,87,20,120
172,73,30,35,0,151,21,87,20,120
173,73,30,35,0,151,21,87,20,120
174,73,30,35,0,151,21,87,20,120
175,73,30,35,0,151,21,87,20,120
176,73,30,35,0,151,21,87,20,120
177,73,30,35,0,151,21,87,20,120
178,73,30,35,0,151,21,87,20,120
