time,loat_abmc_block,loat_abmc,loat_bmc,loat_adcl,spacer,z3_bmc,golem_tpa,golem_bmc,eldarica
1,77,79,65,72,63,66,61,62,0
2,81,82,66,73,68,69,65,67,6
3,81,82,67,75,72,72,68,69,34
4,83,83,68,78,77,75,70,69,35
5,84,84,68,78,77,78,71,70,36
6,84,84,68,79,78,79,71,70,38
7,84,85,68,79,79,82,71,71,39
8,86,86,71,79,80,83,72,71,42
9,88,88,71,79,80,84,72,71,42
10,88,88,71,79,80,84,74,71,42
11,88,88,71,79,80,85,74,72,44
12,88,88,72,79,81,86,74,73,44
13,89,89,72,79,81,88,75,73,46
14,90,90,72,81,81,88,75,74,48
15,90,90,72,81,81,89,75,74,49
16,90,90,72,82,82,89,75,74,49
17,90,90,73,82,82,89,75,74,49
18,90,90,74,82,82,89,75,75,51
19,90,90,74,82,82,90,75,75,51
20,90,90,74,82,82,90,76,75,53
21,90,90,74,82,82,90,76,75,53
22,91,91,74,82,83,90,76,75,54
23,91,91,74,82,83,90,76,75,54
24,91,91,74,82,83,90,76,75,54
25,91,91,74,82,84,90,76,75,55
26,91,91,74,82,85,90,76,75,55
27,91,91,74,82,85,90,76,76,55
28,91,91,74,82,85,90,76,76,55
29,91,91,74,82,85,90,76,76,55
30,91,91,75,82,85,90,76,76,56
31,91,91,75,82,85,90,76,76,56
32,91,91,75,83,85,90,76,76,56
33,91,91,75,84,85,90,76,76,56
34,91,91,75,85,85,90,76,76,56
35,91,91,75,85,85,90,76,76,56
36,91,91,75,85,85,90,76,76,56
37,91,91,76,85,85,90,76,76,56
38,91,91,76,85,85,90,76,76,56
39,91,91,76,86,85,90,76,76,56
40,91,91,76,86,85,90,76,76,56
41,92,92,77,86,85,90,76,76,56
42,92,92,77,86,85,90,76,76,56
43,92,92,77,86,85,90,76,76,56
44,92,92,77,86,85,90,76,76,56
45,92,92,77,86,85,90,76,76,56
46,92,92,77,86,85,90,76,76,56
47,92,92,77,86,86,90,76,76,56
48,92,92,77,86,86,91,76,76,56
